date,NO2,O3,CH4,CO,SO2,HCHO
20200711.0,nan,nan,nan,nan,nan,nan
20200712.0,nan,nan,nan,nan,nan,nan
20200713.0,nan,nan,nan,nan,nan,nan
20200714.0,nan,nan,nan,nan,nan,nan
20200715.0,nan,nan,nan,nan,nan,nan
20200716.0,nan,nan,nan,nan,nan,nan
20200717.0,nan,291.2357,nan,nan,nan,nan
20200718.0,3422573000000000.0,288.2595,nan,nan,nan,nan
20200719.0,3787736000000000.0,291.0244,nan,2.889777e+18,3.60378e+16,9612989000000000.0
20200720.0,1843318000000000.0,300.1040000000001,nan,2.582769e+18,nan,nan
20200721.0,3031710000000000.0,284.6548,nan,nan,nan,nan
20200722.0,nan,282.8044,nan,nan,nan,nan
20200723.0,4047309000000000.0,289.5283,nan,2.279478e+18,nan,nan
20200724.0,nan,284.4644,nan,nan,nan,nan
20200725.0,4185640000000000.0,291.8404,nan,nan,nan,6015085000000000.0
20200726.0,nan,286.3044,nan,nan,nan,nan
20200727.0,nan,nan,nan,nan,nan,nan
20200728.0,nan,298.1516,nan,2.358607e+18,7235570000000000.0,1.169509e+16
20200729.0,4029800000000000.0,295.7337,nan,nan,nan,nan
20200730.0,1610975000000000.0,289.2923,nan,2.56661e+18,nan,6373760000000000.0
20200731.0,nan,293.7803,nan,2.591209e+18,nan,6283561000000000.0
20200801.0,1659189000000000.0,287.2549,nan,2.189021e+18,1.459794e+16,8195303000000000.0
20200802.0,2066117000000000.0,280.35900000000004,nan,2.125024e+18,nan,1.105945e+16
20200803.0,1545174000000000.0,nan,nan,2.279936e+18,nan,9791892000000000.0
20200804.0,2011071000000000.0,285.3675,nan,2.001581e+18,1.122445e+16,1.024551e+16
20200805.0,nan,284.8639,nan,2.482965e+18,nan,1.563822e+16
20200807.0,281.5890808105469,nan,nan,nan,nan,nan
20200808.0,284.8965148925781,nan,nan,nan,4640725048229888.0,nan
20200809.0,285.00225830078125,nan,3.1607723985595274e+18,9844639494307840.0,2193697898758144.0,9846071865901056.0
20200810,291.010498046875,nan,2.7865035882669015e+18,7751987009421312.0,2072045231800320.0,6770855417741312.0
