"PTYPE","PNAME","SK","LAT","LNG"
"education","厦门实验小学",2164,24.461625,118.095239
"education","厦门市槟榔小学",1877,24.486965,118.117595
"education","厦门外国语学校附属小学",1597,24.479366,118.108217
"education","厦门市梧村小学",1594,24.473151,118.119016
"education","厦门市湖明小学",1525,24.482801,118.122025
"education","厦门市公园小学",1438,24.468186,118.096085
"education","厦门第二实验小学",1392,24.488178,118.13328
"education","厦门市大同小学",1377,24.466725,118.083513
"education","厦门市演武小学",1369,24.444945,118.09853
"education","厦门市思明第二实验小学",1315,24.465658,118.113103
"hospital","前埔医院",2564,24.473734,118.179523
"hospital","厦门大学附属厦门眼科中心医院",2320,24.466303,118.087465
"hospital","厦门市妇幼保健院",2137,24.456631,118.088069
"hospital","厦门大学附属第一医院(思明分院)",2020,24.461734,118.090631
"hospital","厦门大学附属中山医院思明区嘉莲街道社区卫生服务中心",2009,24.488751,118.124433
"hospital","厦门大学附属第一医院",1915,24.457358,118.094564
"hospital","厦门大学附属中山医院(厦禾分部)",1904,24.471237,118.105108
"hospital","厦门大学附属中山医院思明区梧村街道社区卫生服务中心",1846,24.471766,118.111809
"hospital","厦门大学附属中山医院金榜分部",1757,24.473054,118.117179
"hospital","厦门大学附属中山医院",1613,24.477761,118.104103
"scope","金榜公园",1793,24.470883,118.116572
"scope","中山公园-动物园",1745,24.466275,118.098076
"scope","中山公园",1662,24.465482,118.096404
"scope","海滨公园",1415,24.462846,118.078653
"scope","前埔健身公园",1394,24.479542,118.176417
"scope","厦门园林植物园工程部",1394,24.468846,118.185052
"scope","南湖公园",1228,24.485493,118.112425
"scope","鸿山公园",1167,24.45343,118.093142
"scope","铁路文化公园(思明南路)",1129,24.45143,118.092671
"scope","莲花公园",1126,24.491401,118.134958
"shopping","凯旋农贸市场",1637,24.475684,118.116259
"shopping","美仁宫菜市场",1578,24.468265,118.09893
"shopping","厦门市旧货市场",1324,24.46785,118.109545
"shopping","夏商湖光小商品批发市场",1256,24.484867,118.118546
"shopping","镇海市场",1238,24.458228,118.092708
"shopping","夏商农产品市场(镇海)",1226,24.45819,118.092456
"shopping","湖滨四里农贸市场",1187,24.481096,118.115306
"shopping","厦门第七菜市场",1124,24.463767,118.08766
"shopping","槟榔菜市场",1103,24.487485,118.118732
"shopping","八市",1078,24.465106,118.081204
